date,value
"2020-03-29",-61
"2020-03-28",-72
"2020-03-27",-82
"2020-03-26",-83
"2020-03-25",-84
"2020-03-24",-82
"2020-03-23",-81
"2020-03-22",-62
"2020-03-21",-67
"2020-03-20",-77
"2020-03-19",-78
"2020-03-18",-77
"2020-03-17",-67
"2020-03-16",-41
"2020-03-15",-16
"2020-03-14",-8
"2020-03-13",-15
"2020-03-12",-14
"2020-03-11",-10
"2020-03-10",-10
"2020-03-09",-10
"2020-03-08",-4
"2020-03-07",0
"2020-03-06",-5
"2020-03-05",-9
"2020-03-04",-8
"2020-03-03",-7
"2020-03-02",-7
"2020-03-01",-4
"2020-02-29",0
"2020-02-28",-3
"2020-02-27",-8
"2020-02-26",-8
"2020-02-25",-24
"2020-02-24",-70
"2020-02-23",-58
"2020-02-22",-6
"2020-02-21",-9
"2020-02-20",-13
"2020-02-19",-11
"2020-02-18",-6
"2020-02-17",-5
"2020-02-16",-4
