date,value
"2020-03-29",-28
"2020-03-28",-24
"2020-03-27",-23
"2020-03-26",-22
"2020-03-25",-18
"2020-03-24",-19
"2020-03-23",-18
"2020-03-22",-14
"2020-03-21",-16
"2020-03-20",-16
"2020-03-19",-16
"2020-03-18",-19
"2020-03-17",-16
"2020-03-16",-8
"2020-03-15",-4
"2020-03-14",-4
"2020-03-13",12
"2020-03-12",20
"2020-03-11",10
"2020-03-10",5
"2020-03-09",4
"2020-03-08",14
"2020-03-07",19
"2020-03-06",12
"2020-03-05",8
"2020-03-04",3
"2020-03-03",0
"2020-03-02",2
"2020-03-01",2
"2020-02-29",1
"2020-02-28",1
"2020-02-27",0
"2020-02-26",-2
"2020-02-25",-3
"2020-02-24",-2
"2020-02-23",-4
"2020-02-22",9
"2020-02-21",-4
"2020-02-20",2
"2020-02-19",1
"2020-02-18",1
"2020-02-17",1
"2020-02-16",-1
