date,value
"2020-03-29",-60
"2020-03-28",-62
"2020-03-27",-55
"2020-03-26",-45
"2020-03-25",-41
"2020-03-24",-43
"2020-03-23",-41
"2020-03-22",-43
"2020-03-21",-49
"2020-03-20",-45
"2020-03-19",-41
"2020-03-18",-44
"2020-03-17",-41
"2020-03-16",-36
"2020-03-15",-34
"2020-03-14",-34
"2020-03-13",-21
"2020-03-12",-4
"2020-03-11",2
"2020-03-10",3
"2020-03-09",4
"2020-03-08",17
"2020-03-07",19
"2020-03-06",9
"2020-03-05",7
"2020-03-04",3
"2020-03-03",0
"2020-03-02",1
"2020-03-01",0
"2020-02-29",-3
"2020-02-28",-5
"2020-02-27",-2
"2020-02-26",0
"2020-02-25",0
"2020-02-24",-3
"2020-02-23",-15
"2020-02-22",9
"2020-02-21",-6
"2020-02-20",2
"2020-02-19",6
"2020-02-18",5
"2020-02-17",4
"2020-02-16",4
