date,value
"2020-04-11",-42
"2020-04-10",-42
"2020-04-09",-36
"2020-04-08",-35
"2020-04-07",-36
"2020-04-06",-37
"2020-04-05",-36
"2020-04-04",-49
"2020-04-03",-47
"2020-04-02",-44
"2020-04-01",-43
"2020-03-31",-46
"2020-03-30",-45
"2020-03-29",-40
"2020-03-28",-57
"2020-03-27",-57
"2020-03-26",-50
"2020-03-25",-47
"2020-03-24",-40
"2020-03-23",-39
"2020-03-22",-36
"2020-03-21",-31
"2020-03-20",-30
"2020-03-19",-30
"2020-03-18",-22
"2020-03-17",-18
"2020-03-16",-10
"2020-03-15",-6
"2020-03-14",-13
"2020-03-13",-32
"2020-03-12",-53
"2020-03-11",-20
"2020-03-10",7
"2020-03-09",5
"2020-03-08",5
"2020-03-07",8
"2020-03-06",14
"2020-03-05",12
"2020-03-04",5
"2020-03-03",7
"2020-03-02",6
"2020-03-01",5
"2020-02-29",5
"2020-02-28",12
"2020-02-27",17
"2020-02-26",2
"2020-02-25",1
"2020-02-24",-8
"2020-02-23",-2
"2020-02-22",0
"2020-02-21",7
"2020-02-20",12
"2020-02-19",-4
"2020-02-18",1
"2020-02-17",3
"2020-02-16",6
