date,value
"2020-04-11",26
"2020-04-10",42
"2020-04-09",36
"2020-04-08",31
"2020-04-07",31
"2020-04-06",31
"2020-04-05",23
"2020-04-04",26
"2020-04-03",35
"2020-04-02",33
"2020-04-01",33
"2020-03-31",32
"2020-03-30",31
"2020-03-29",22
"2020-03-28",26
"2020-03-27",33
"2020-03-26",31
"2020-03-25",30
"2020-03-24",29
"2020-03-23",28
"2020-03-22",23
"2020-03-21",25
"2020-03-20",31
"2020-03-19",31
"2020-03-18",27
"2020-03-17",26
"2020-03-16",24
"2020-03-15",19
"2020-03-14",15
"2020-03-13",11
"2020-03-12",5
"2020-03-11",2
"2020-03-10",0
"2020-03-09",-1
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",-2
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",-3
"2020-02-21",-2
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",0
"2020-02-16",-1
