date,value
"2020-03-29",-94
"2020-03-28",-92
"2020-03-27",-88
"2020-03-26",-87
"2020-03-25",-87
"2020-03-24",-87
"2020-03-23",-85
"2020-03-22",-92
"2020-03-21",-92
"2020-03-20",-88
"2020-03-19",-87
"2020-03-18",-85
"2020-03-17",-83
"2020-03-16",-81
"2020-03-15",-85
"2020-03-14",-75
"2020-03-13",-46
"2020-03-12",-21
"2020-03-11",-8
"2020-03-10",-4
"2020-03-09",-2
"2020-03-08",1
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-3
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",-1
"2020-02-27",1
"2020-02-26",3
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",5
"2020-02-22",6
"2020-02-21",2
"2020-02-20",1
"2020-02-19",1
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",0
