date,value
"2020-03-29",48
"2020-03-28",45
"2020-03-27",46
"2020-03-26",52
"2020-03-25",46
"2020-03-24",37
"2020-03-23",33
"2020-03-22",70
"2020-03-21",49
"2020-03-20",41
"2020-03-19",44
"2020-03-18",35
"2020-03-17",9
"2020-03-16",8
"2020-03-15",21
"2020-03-14",21
"2020-03-13",6
"2020-03-12",0
"2020-03-11",1
"2020-03-10",-4
"2020-03-09",-1
"2020-03-08",23
"2020-03-07",34
"2020-03-06",28
"2020-03-05",19
"2020-03-04",10
"2020-03-03",13
"2020-03-02",14
"2020-03-01",7
"2020-02-29",5
"2020-02-28",31
"2020-02-27",37
"2020-02-26",37
"2020-02-25",41
"2020-02-24",41
"2020-02-23",25
"2020-02-22",23
"2020-02-21",-20
"2020-02-20",3
"2020-02-19",31
"2020-02-18",33
"2020-02-17",21
"2020-02-16",9
