date,value
"2020-04-11",-47
"2020-04-10",-64
"2020-04-09",-43
"2020-04-08",-74
"2020-04-07",-42
"2020-04-06",-45
"2020-04-05",-52
"2020-04-04",-50
"2020-04-03",-47
"2020-04-02",-27
"2020-04-01",-32
"2020-03-31",-34
"2020-03-30",-34
"2020-03-29",-39
"2020-03-28",-34
"2020-03-27",-29
"2020-03-26",-28
"2020-03-25",-24
"2020-03-24",-18
"2020-03-23",-19
"2020-03-22",-28
"2020-03-21",-27
"2020-03-20",-16
"2020-03-19",0
"2020-03-18",-2
"2020-03-17",-2
"2020-03-16",-2
"2020-03-15",1
"2020-03-14",4
"2020-03-13",3
"2020-03-12",0
"2020-03-11",2
"2020-03-10",5
"2020-03-09",3
"2020-03-08",5
"2020-03-07",10
"2020-03-06",10
"2020-03-05",9
"2020-03-04",6
"2020-03-03",1
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",4
"2020-02-28",4
"2020-02-27",3
"2020-02-26",1
"2020-02-25",1
"2020-02-24",1
"2020-02-23",-1
"2020-02-22",2
"2020-02-21",0
"2020-02-20",2
"2020-02-19",2
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-3
