date,value
"2020-03-29",-59
"2020-03-28",-40
"2020-03-27",-34
"2020-03-26",-37
"2020-03-25",-28
"2020-03-24",-26
"2020-03-23",-26
"2020-03-22",-31
"2020-03-21",-29
"2020-03-20",-18
"2020-03-19",-5
"2020-03-18",-5
"2020-03-17",-7
"2020-03-16",-5
"2020-03-15",-5
"2020-03-14",-2
"2020-03-13",-1
"2020-03-12",-6
"2020-03-11",-4
"2020-03-10",1
"2020-03-09",1
"2020-03-08",2
"2020-03-07",4
"2020-03-06",5
"2020-03-05",4
"2020-03-04",2
"2020-03-03",3
"2020-03-02",2
"2020-03-01",-1
"2020-02-29",0
"2020-02-28",4
"2020-02-27",4
"2020-02-26",0
"2020-02-25",4
"2020-02-24",4
"2020-02-23",0
"2020-02-22",2
"2020-02-21",7
"2020-02-20",9
"2020-02-19",1
"2020-02-18",4
"2020-02-17",6
"2020-02-16",-1
