date,value
"2020-04-05",-41
"2020-04-04",-37
"2020-04-03",-45
"2020-04-02",-41
"2020-04-01",-48
"2020-03-31",-43
"2020-03-30",-42
"2020-03-29",-47
"2020-03-28",-39
"2020-03-27",-40
"2020-03-26",-40
"2020-03-25",-41
"2020-03-24",-42
"2020-03-23",-43
"2020-03-22",-50
"2020-03-21",-40
"2020-03-20",-28
"2020-03-19",-23
"2020-03-18",-19
"2020-03-17",-15
"2020-03-16",-13
"2020-03-15",-14
"2020-03-14",-11
"2020-03-13",-8
"2020-03-12",-3
"2020-03-11",-8
"2020-03-10",-8
"2020-03-09",-5
"2020-03-08",0
"2020-03-07",-5
"2020-03-06",-9
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",-4
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",-8
"2020-02-24",-1
"2020-02-23",-5
"2020-02-22",-5
"2020-02-21",-9
"2020-02-20",-10
"2020-02-19",-5
"2020-02-18",-5
"2020-02-17",-2
"2020-02-16",-1
