date,value
"2020-03-29",15
"2020-03-28",20
"2020-03-27",28
"2020-03-26",27
"2020-03-25",26
"2020-03-24",24
"2020-03-23",18
"2020-03-22",10
"2020-03-21",10
"2020-03-20",12
"2020-03-19",12
"2020-03-18",11
"2020-03-17",8
"2020-03-16",5
"2020-03-15",2
"2020-03-14",2
"2020-03-13",2
"2020-03-12",2
"2020-03-11",1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",0
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",1
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",0
"2020-02-28",1
"2020-02-27",1
"2020-02-26",0
"2020-02-25",0
"2020-02-24",1
"2020-02-23",1
"2020-02-22",0
"2020-02-21",1
"2020-02-20",3
"2020-02-19",3
"2020-02-18",3
"2020-02-17",2
"2020-02-16",2
