date,value
"2020-04-05",-54
"2020-04-04",-57
"2020-04-03",-68
"2020-04-02",-70
"2020-04-01",-69
"2020-03-31",-70
"2020-03-30",-69
"2020-03-29",-55
"2020-03-28",-57
"2020-03-27",-66
"2020-03-26",-66
"2020-03-25",-64
"2020-03-24",-59
"2020-03-23",-47
"2020-03-22",-32
"2020-03-21",-26
"2020-03-20",-28
"2020-03-19",-27
"2020-03-18",-24
"2020-03-17",-18
"2020-03-16",-11
"2020-03-15",-5
"2020-03-14",-3
"2020-03-13",-3
"2020-03-12",-2
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",1
"2020-03-07",1
"2020-03-06",1
"2020-03-05",1
"2020-03-04",1
"2020-03-03",1
"2020-03-02",1
"2020-03-01",1
"2020-02-29",1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",1
"2020-02-24",0
"2020-02-23",-2
"2020-02-22",-1
"2020-02-21",-4
"2020-02-20",-15
"2020-02-19",-14
"2020-02-18",-14
"2020-02-17",-14
"2020-02-16",-14
