date,value
"2020-04-11",-25
"2020-04-10",-21
"2020-04-09",-26
"2020-04-08",-29
"2020-04-07",-34
"2020-04-06",-30
"2020-04-05",-23
"2020-04-04",-33
"2020-04-03",-26
"2020-04-02",-33
"2020-04-01",-30
"2020-03-31",-33
"2020-03-30",-32
"2020-03-29",-24
"2020-03-28",-16
"2020-03-27",-14
"2020-03-26",-18
"2020-03-25",-18
"2020-03-24",-19
"2020-03-23",-13
"2020-03-22",-14
"2020-03-21",-19
"2020-03-20",-15
"2020-03-19",-15
"2020-03-18",-23
"2020-03-17",-24
"2020-03-16",-22
"2020-03-15",-5
"2020-03-14",-6
"2020-03-13",-4
"2020-03-12",5
"2020-03-11",9
"2020-03-10",11
"2020-03-09",12
"2020-03-08",23
"2020-03-07",21
"2020-03-06",11
"2020-03-05",15
"2020-03-04",15
"2020-03-03",14
"2020-03-02",10
"2020-03-01",0
"2020-02-29",-5
"2020-02-28",2
"2020-02-27",7
"2020-02-26",10
"2020-02-25",4
"2020-02-24",-6
"2020-02-23",7
"2020-02-22",5
"2020-02-21",9
"2020-02-20",13
"2020-02-19",6
"2020-02-18",6
"2020-02-17",2
"2020-02-16",-1
