date,value
"2020-03-29",8
"2020-03-28",14
"2020-03-27",-17
"2020-03-26",-1
"2020-03-25",-9
"2020-03-24",-13
"2020-03-23",-18
"2020-03-22",-12
"2020-03-21",-2
"2020-03-20",-8
"2020-03-19",-6
"2020-03-18",-4
"2020-03-17",-2
"2020-03-16",-1
"2020-03-15",-1
"2020-03-14",-2
"2020-03-13",-3
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-3
"2020-03-09",-3
"2020-03-08",0
"2020-03-07",-1
"2020-03-06",-7
"2020-03-05",-4
"2020-03-04",2
"2020-03-03",1
"2020-03-02",-1
"2020-03-01",1
"2020-02-29",1
"2020-02-28",-1
"2020-02-27",-3
"2020-02-26",-2
"2020-02-25",-3
"2020-02-24",-3
"2020-02-23",-4
"2020-02-22",-3
"2020-02-21",-3
"2020-02-20",-5
"2020-02-19",-2
"2020-02-18",-2
"2020-02-17",-3
"2020-02-16",-2
