date,value
"2020-04-11",22
"2020-04-10",32
"2020-04-09",26
"2020-04-08",26
"2020-04-07",25
"2020-04-06",27
"2020-04-05",20
"2020-04-04",22
"2020-04-03",29
"2020-04-02",28
"2020-04-01",28
"2020-03-31",27
"2020-03-30",27
"2020-03-29",9
"2020-03-28",8
"2020-03-27",16
"2020-03-26",13
"2020-03-25",13
"2020-03-24",14
"2020-03-23",13
"2020-03-22",12
"2020-03-21",7
"2020-03-20",8
"2020-03-19",8
"2020-03-18",7
"2020-03-17",4
"2020-03-16",4
"2020-03-15",2
"2020-03-14",1
"2020-03-13",1
"2020-03-12",1
"2020-03-11",1
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",0
"2020-03-06",5
"2020-03-05",5
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",1
"2020-03-01",1
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",1
"2020-02-22",1
"2020-02-21",0
"2020-02-20",1
"2020-02-19",1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",1
