date,value
"2020-04-05",21
"2020-04-04",23
"2020-04-03",27
"2020-04-02",24
"2020-04-01",24
"2020-03-31",23
"2020-03-30",22
"2020-03-29",20
"2020-03-28",23
"2020-03-27",29
"2020-03-26",26
"2020-03-25",33
"2020-03-24",26
"2020-03-23",25
"2020-03-22",17
"2020-03-21",17
"2020-03-20",21
"2020-03-19",21
"2020-03-18",19
"2020-03-17",18
"2020-03-16",17
"2020-03-15",15
"2020-03-14",12
"2020-03-13",9
"2020-03-12",7
"2020-03-11",5
"2020-03-10",2
"2020-03-09",2
"2020-03-08",2
"2020-03-07",2
"2020-03-06",1
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",2
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",2
"2020-02-20",0
"2020-02-19",-2
"2020-02-18",-1
"2020-02-17",1
"2020-02-16",-1
