date,value
"2020-03-29",-53
"2020-03-28",-52
"2020-03-27",-58
"2020-03-26",-58
"2020-03-25",-82
"2020-03-24",-61
"2020-03-23",-57
"2020-03-22",-44
"2020-03-21",-44
"2020-03-20",-49
"2020-03-19",-49
"2020-03-18",-49
"2020-03-17",-45
"2020-03-16",-41
"2020-03-15",-38
"2020-03-14",-30
"2020-03-13",-21
"2020-03-12",-16
"2020-03-11",-12
"2020-03-10",-4
"2020-03-09",0
"2020-03-08",1
"2020-03-07",2
"2020-03-06",3
"2020-03-05",3
"2020-03-04",4
"2020-03-03",3
"2020-03-02",-24
"2020-03-01",-42
"2020-02-29",3
"2020-02-28",1
"2020-02-27",2
"2020-02-26",3
"2020-02-25",3
"2020-02-24",3
"2020-02-23",3
"2020-02-22",4
"2020-02-21",1
"2020-02-20",1
"2020-02-19",4
"2020-02-18",3
"2020-02-17",-1
"2020-02-16",3
