date,value
"2020-04-05",-64
"2020-04-04",-66
"2020-04-03",-68
"2020-04-02",-68
"2020-04-01",-66
"2020-03-31",-67
"2020-03-30",-69
"2020-03-29",-69
"2020-03-28",-71
"2020-03-27",-74
"2020-03-26",-75
"2020-03-25",-75
"2020-03-24",-76
"2020-03-23",-76
"2020-03-22",-76
"2020-03-21",-74
"2020-03-20",-71
"2020-03-19",-68
"2020-03-18",-64
"2020-03-17",-57
"2020-03-16",-29
"2020-03-15",-15
"2020-03-14",-8
"2020-03-13",-5
"2020-03-12",-4
"2020-03-11",-3
"2020-03-10",-5
"2020-03-09",-6
"2020-03-08",-2
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",1
"2020-03-03",0
"2020-03-02",-2
"2020-03-01",0
"2020-02-29",6
"2020-02-28",4
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-3
"2020-02-24",-5
"2020-02-23",-4
"2020-02-22",1
"2020-02-21",0
"2020-02-20",-3
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",-2
"2020-02-16",-2
