date,value
"2020-04-11",19
"2020-04-10",27
"2020-04-09",13
"2020-04-08",15
"2020-04-07",17
"2020-04-06",18
"2020-04-05",17
"2020-04-04",19
"2020-04-03",19
"2020-04-02",15
"2020-04-01",16
"2020-03-31",18
"2020-03-30",17
"2020-03-29",16
"2020-03-28",16
"2020-03-27",18
"2020-03-26",14
"2020-03-25",15
"2020-03-24",16
"2020-03-23",14
"2020-03-22",12
"2020-03-21",13
"2020-03-20",15
"2020-03-19",12
"2020-03-18",12
"2020-03-17",13
"2020-03-16",12
"2020-03-15",10
"2020-03-14",11
"2020-03-13",13
"2020-03-12",12
"2020-03-11",11
"2020-03-10",12
"2020-03-09",13
"2020-03-08",11
"2020-03-07",11
"2020-03-06",13
"2020-03-05",13
"2020-03-04",12
"2020-03-03",13
"2020-03-02",13
"2020-03-01",12
"2020-02-29",11
"2020-02-28",13
"2020-02-27",15
"2020-02-26",12
"2020-02-25",14
"2020-02-24",15
"2020-02-23",14
"2020-02-22",12
"2020-02-21",13
"2020-02-20",17
"2020-02-19",12
"2020-02-18",14
"2020-02-17",16
"2020-02-16",15
