date,value
"2020-04-11",-41
"2020-04-10",-43
"2020-04-09",-27
"2020-04-08",-32
"2020-04-07",-35
"2020-04-06",-38
"2020-04-05",-47
"2020-04-04",-42
"2020-04-03",-35
"2020-04-02",-31
"2020-04-01",-34
"2020-03-31",-36
"2020-03-30",-37
"2020-03-29",-45
"2020-03-28",-37
"2020-03-27",-33
"2020-03-26",-31
"2020-03-25",-33
"2020-03-24",-34
"2020-03-23",-32
"2020-03-22",-32
"2020-03-21",-30
"2020-03-20",-28
"2020-03-19",-25
"2020-03-18",-28
"2020-03-17",-28
"2020-03-16",-26
"2020-03-15",-24
"2020-03-14",-24
"2020-03-13",-25
"2020-03-12",-24
"2020-03-11",-24
"2020-03-10",-26
"2020-03-09",-26
"2020-03-08",-26
"2020-03-07",-25
"2020-03-06",-25
"2020-03-05",-25
"2020-03-04",-25
"2020-03-03",-28
"2020-03-02",-28
"2020-03-01",-27
"2020-02-29",-26
"2020-02-28",-27
"2020-02-27",-29
"2020-02-26",-28
"2020-02-25",-30
"2020-02-24",-31
"2020-02-23",-31
"2020-02-22",-31
"2020-02-21",-31
"2020-02-20",-31
"2020-02-19",-28
"2020-02-18",-31
"2020-02-17",-33
"2020-02-16",-32
