date,value
"2020-03-29",-81
"2020-03-28",-81
"2020-03-27",-76
"2020-03-26",-79
"2020-03-25",-75
"2020-03-24",-82
"2020-03-23",-82
"2020-03-22",-84
"2020-03-21",-86
"2020-03-20",-85
"2020-03-19",-78
"2020-03-18",-78
"2020-03-17",-73
"2020-03-16",-53
"2020-03-15",-30
"2020-03-14",-16
"2020-03-13",-9
"2020-03-12",-8
"2020-03-11",-6
"2020-03-10",-5
"2020-03-09",-5
"2020-03-08",-5
"2020-03-07",-4
"2020-03-06",-2
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",2
"2020-02-28",-2
"2020-02-27",-6
"2020-02-26",-8
"2020-02-25",-5
"2020-02-24",-5
"2020-02-23",-5
"2020-02-22",-5
"2020-02-21",-5
"2020-02-20",-3
"2020-02-19",-4
"2020-02-18",-5
"2020-02-17",-2
"2020-02-16",-1
