date,value
"2020-04-05",-84
"2020-04-04",-83
"2020-04-03",-63
"2020-04-02",-81
"2020-04-01",-66
"2020-03-31",-78
"2020-03-30",-69
"2020-03-29",-74
"2020-03-28",-75
"2020-03-27",-67
"2020-03-26",-71
"2020-03-25",-65
"2020-03-24",-76
"2020-03-23",-75
"2020-03-22",-79
"2020-03-21",-80
"2020-03-20",-80
"2020-03-19",-71
"2020-03-18",-70
"2020-03-17",-69
"2020-03-16",-46
"2020-03-15",-25
"2020-03-14",-12
"2020-03-13",-7
"2020-03-12",-6
"2020-03-11",-5
"2020-03-10",-5
"2020-03-09",-4
"2020-03-08",-5
"2020-03-07",-4
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-2
"2020-03-03",-3
"2020-03-02",-3
"2020-03-01",-2
"2020-02-29",-4
"2020-02-28",-7
"2020-02-27",-8
"2020-02-26",-6
"2020-02-25",-5
"2020-02-24",-5
"2020-02-23",-5
"2020-02-22",-6
"2020-02-21",-3
"2020-02-20",-2
"2020-02-19",-3
"2020-02-18",-3
"2020-02-17",-3
"2020-02-16",0
