date,value
"2020-04-11",-68
"2020-04-10",-73
"2020-04-09",-78
"2020-04-08",-69
"2020-04-07",-74
"2020-04-06",-69
"2020-04-05",-56
"2020-04-04",-69
"2020-04-03",-64
"2020-04-02",-76
"2020-04-01",-67
"2020-03-31",-74
"2020-03-30",-67
"2020-03-29",-46
"2020-03-28",-63
"2020-03-27",-66
"2020-03-26",-70
"2020-03-25",-69
"2020-03-24",-73
"2020-03-23",-72
"2020-03-22",-56
"2020-03-21",-66
"2020-03-20",-73
"2020-03-19",-71
"2020-03-18",-71
"2020-03-17",-66
"2020-03-16",-43
"2020-03-15",-15
"2020-03-14",-3
"2020-03-13",1
"2020-03-12",5
"2020-03-11",8
"2020-03-10",10
"2020-03-09",11
"2020-03-08",5
"2020-03-07",1
"2020-03-06",8
"2020-03-05",11
"2020-03-04",10
"2020-03-03",11
"2020-03-02",12
"2020-03-01",9
"2020-02-29",3
"2020-02-28",5
"2020-02-27",9
"2020-02-26",7
"2020-02-25",9
"2020-02-24",11
"2020-02-23",9
"2020-02-22",1
"2020-02-21",3
"2020-02-20",10
"2020-02-19",8
"2020-02-18",8
"2020-02-17",10
"2020-02-16",10
