date,value
"2020-03-29",-57
"2020-03-28",-51
"2020-03-27",-47
"2020-03-26",-50
"2020-03-25",-49
"2020-03-24",-50
"2020-03-23",-40
"2020-03-22",-48
"2020-03-21",-32
"2020-03-20",-21
"2020-03-19",-15
"2020-03-18",2
"2020-03-17",1
"2020-03-16",12
"2020-03-15",7
"2020-03-14",7
"2020-03-13",20
"2020-03-12",23
"2020-03-11",15
"2020-03-10",8
"2020-03-09",4
"2020-03-08",7
"2020-03-07",8
"2020-03-06",4
"2020-03-05",2
"2020-03-04",2
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",-3
"2020-02-28",1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",3
"2020-02-24",9
"2020-02-23",7
"2020-02-22",5
"2020-02-21",4
"2020-02-20",4
"2020-02-19",2
"2020-02-18",2
"2020-02-17",-1
"2020-02-16",3
