date,value
"2020-04-05",7
"2020-04-04",8
"2020-04-03",11
"2020-04-02",12
"2020-04-01",12
"2020-03-31",11
"2020-03-30",11
"2020-03-29",7
"2020-03-28",7
"2020-03-27",12
"2020-03-26",12
"2020-03-25",11
"2020-03-24",11
"2020-03-23",11
"2020-03-22",8
"2020-03-21",6
"2020-03-20",6
"2020-03-19",1
"2020-03-18",0
"2020-03-17",-2
"2020-03-16",-2
"2020-03-15",0
"2020-03-14",-1
"2020-03-13",-1
"2020-03-12",0
"2020-03-11",1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",2
"2020-03-07",2
"2020-03-06",1
"2020-03-05",1
"2020-03-04",1
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",3
"2020-02-28",3
"2020-02-27",4
"2020-02-26",5
"2020-02-25",11
"2020-02-24",13
"2020-02-23",13
"2020-02-22",3
"2020-02-21",1
"2020-02-20",3
"2020-02-19",3
"2020-02-18",2
"2020-02-17",1
"2020-02-16",1
