date,value
"2020-03-29",-34
"2020-03-28",-34
"2020-03-27",-35
"2020-03-26",-34
"2020-03-25",-33
"2020-03-24",-32
"2020-03-23",-28
"2020-03-22",-31
"2020-03-21",-25
"2020-03-20",-15
"2020-03-19",-9
"2020-03-18",-6
"2020-03-17",-5
"2020-03-16",-6
"2020-03-15",-5
"2020-03-14",-3
"2020-03-13",-2
"2020-03-12",-5
"2020-03-11",-6
"2020-03-10",-6
"2020-03-09",-7
"2020-03-08",-8
"2020-03-07",-7
"2020-03-06",-3
"2020-03-05",-3
"2020-03-04",-3
"2020-03-03",-4
"2020-03-02",-4
"2020-03-01",-6
"2020-02-29",-9
"2020-02-28",-5
"2020-02-27",-4
"2020-02-26",-9
"2020-02-25",-25
"2020-02-24",-30
"2020-02-23",-32
"2020-02-22",-15
"2020-02-21",-6
"2020-02-20",-6
"2020-02-19",-7
"2020-02-18",-8
"2020-02-17",-5
"2020-02-16",-4
