date,value
"2020-04-11",-57
"2020-04-10",-61
"2020-04-09",-49
"2020-04-08",-51
"2020-04-07",-50
"2020-04-06",-48
"2020-04-05",-51
"2020-04-04",-51
"2020-04-03",-49
"2020-04-02",-51
"2020-04-01",-49
"2020-03-31",-49
"2020-03-30",-48
"2020-03-29",-47
"2020-03-28",-48
"2020-03-27",-43
"2020-03-26",-44
"2020-03-25",-45
"2020-03-24",-43
"2020-03-23",-41
"2020-03-22",-45
"2020-03-21",-42
"2020-03-20",-25
"2020-03-19",-17
"2020-03-18",-15
"2020-03-17",-14
"2020-03-16",-7
"2020-03-15",-6
"2020-03-14",-8
"2020-03-13",-5
"2020-03-12",-3
"2020-03-11",-6
"2020-03-10",-6
"2020-03-09",-7
"2020-03-08",-8
"2020-03-07",-8
"2020-03-06",-5
"2020-03-05",-4
"2020-03-04",-7
"2020-03-03",-7
"2020-03-02",-7
"2020-03-01",-9
"2020-02-29",-12
"2020-02-28",-10
"2020-02-27",-6
"2020-02-26",-8
"2020-02-25",-24
"2020-02-24",-29
"2020-02-23",-35
"2020-02-22",-15
"2020-02-21",-7
"2020-02-20",-4
"2020-02-19",-7
"2020-02-18",-9
"2020-02-17",-6
"2020-02-16",-3
