date,value
"2020-04-11",-51
"2020-04-10",-81
"2020-04-09",-32
"2020-04-08",-40
"2020-04-07",-42
"2020-04-06",-44
"2020-04-05",-54
"2020-04-04",-54
"2020-04-03",-50
"2020-04-02",-51
"2020-04-01",-54
"2020-03-31",-55
"2020-03-30",-57
"2020-03-29",-66
"2020-03-28",-66
"2020-03-27",-45
"2020-03-26",-52
"2020-03-25",-55
"2020-03-24",-54
"2020-03-23",-54
"2020-03-22",-62
"2020-03-21",-58
"2020-03-20",-48
"2020-03-19",-42
"2020-03-18",-37
"2020-03-17",-32
"2020-03-16",-16
"2020-03-15",-32
"2020-03-14",-21
"2020-03-13",-6
"2020-03-12",2
"2020-03-11",4
"2020-03-10",6
"2020-03-09",6
"2020-03-08",15
"2020-03-07",18
"2020-03-06",7
"2020-03-05",5
"2020-03-04",5
"2020-03-03",2
"2020-03-02",0
"2020-03-01",2
"2020-02-29",4
"2020-02-28",1
"2020-02-27",1
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",4
"2020-02-23",4
"2020-02-22",11
"2020-02-21",7
"2020-02-20",2
"2020-02-19",4
"2020-02-18",3
"2020-02-17",5
"2020-02-16",6
