date,value
"2020-04-05",-44
"2020-04-04",-43
"2020-04-03",-51
"2020-04-02",-53
"2020-04-01",-54
"2020-03-31",-56
"2020-03-30",-59
"2020-03-29",-53
"2020-03-28",-52
"2020-03-27",-48
"2020-03-26",-55
"2020-03-25",-58
"2020-03-24",-57
"2020-03-23",-58
"2020-03-22",-55
"2020-03-21",-49
"2020-03-20",-45
"2020-03-19",-43
"2020-03-18",-41
"2020-03-17",-37
"2020-03-16",-30
"2020-03-15",-20
"2020-03-14",-11
"2020-03-13",-9
"2020-03-12",-4
"2020-03-11",0
"2020-03-10",3
"2020-03-09",4
"2020-03-08",10
"2020-03-07",13
"2020-03-06",4
"2020-03-05",2
"2020-03-04",3
"2020-03-03",0
"2020-03-02",1
"2020-03-01",4
"2020-02-29",7
"2020-02-28",4
"2020-02-27",0
"2020-02-26",1
"2020-02-25",0
"2020-02-24",5
"2020-02-23",5
"2020-02-22",13
"2020-02-21",10
"2020-02-20",2
"2020-02-19",4
"2020-02-18",2
"2020-02-17",5
"2020-02-16",6
