date,value
"2020-03-29",-27
"2020-03-28",-20
"2020-03-27",-17
"2020-03-26",-17
"2020-03-25",-20
"2020-03-24",-12
"2020-03-23",-12
"2020-03-22",-14
"2020-03-21",-7
"2020-03-20",-7
"2020-03-19",-6
"2020-03-18",-1
"2020-03-17",1
"2020-03-16",2
"2020-03-15",3
"2020-03-14",3
"2020-03-13",3
"2020-03-12",3
"2020-03-11",4
"2020-03-10",5
"2020-03-09",5
"2020-03-08",4
"2020-03-07",5
"2020-03-06",5
"2020-03-05",6
"2020-03-04",6
"2020-03-03",6
"2020-03-02",11
"2020-03-01",10
"2020-02-29",5
"2020-02-28",5
"2020-02-27",3
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",-3
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",-3
"2020-02-17",-2
"2020-02-16",-4
