date,value
"2020-03-29",-54
"2020-03-28",-50
"2020-03-27",-49
"2020-03-26",-46
"2020-03-25",-52
"2020-03-24",-43
"2020-03-23",-41
"2020-03-22",-42
"2020-03-21",-35
"2020-03-20",-32
"2020-03-19",-27
"2020-03-18",-22
"2020-03-17",-18
"2020-03-16",-14
"2020-03-15",-12
"2020-03-14",-8
"2020-03-13",-1
"2020-03-12",1
"2020-03-11",1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",0
"2020-03-07",1
"2020-03-06",3
"2020-03-05",3
"2020-03-04",2
"2020-03-03",0
"2020-03-02",2
"2020-03-01",2
"2020-02-29",2
"2020-02-28",4
"2020-02-27",3
"2020-02-26",2
"2020-02-25",-1
"2020-02-24",-5
"2020-02-23",-2
"2020-02-22",-3
"2020-02-21",1
"2020-02-20",2
"2020-02-19",3
"2020-02-18",0
"2020-02-17",1
"2020-02-16",-1
