date,value
"2020-04-05",-17
"2020-04-04",-25
"2020-04-03",-34
"2020-04-02",-35
"2020-04-01",-35
"2020-03-31",-35
"2020-03-30",-34
"2020-03-29",-15
"2020-03-28",-23
"2020-03-27",-32
"2020-03-26",-33
"2020-03-25",-57
"2020-03-24",-34
"2020-03-23",-27
"2020-03-22",-10
"2020-03-21",-10
"2020-03-20",-17
"2020-03-19",-18
"2020-03-18",-16
"2020-03-17",-14
"2020-03-16",-9
"2020-03-15",0
"2020-03-14",5
"2020-03-13",6
"2020-03-12",4
"2020-03-11",4
"2020-03-10",4
"2020-03-09",4
"2020-03-08",4
"2020-03-07",5
"2020-03-06",6
"2020-03-05",5
"2020-03-04",4
"2020-03-03",4
"2020-03-02",5
"2020-03-01",4
"2020-02-29",4
"2020-02-28",6
"2020-02-27",5
"2020-02-26",4
"2020-02-25",2
"2020-02-24",-1
"2020-02-23",4
"2020-02-22",4
"2020-02-21",5
"2020-02-20",4
"2020-02-19",1
"2020-02-18",1
"2020-02-17",2
"2020-02-16",3
