date,value
"2020-04-05",-33
"2020-04-04",-23
"2020-04-03",-22
"2020-04-02",-23
"2020-04-01",-26
"2020-03-31",-25
"2020-03-30",-28
"2020-03-29",-37
"2020-03-28",-23
"2020-03-27",-14
"2020-03-26",-16
"2020-03-25",-17
"2020-03-24",-10
"2020-03-23",-17
"2020-03-22",-12
"2020-03-21",-4
"2020-03-20",-8
"2020-03-19",-10
"2020-03-18",-9
"2020-03-17",-20
"2020-03-16",3
"2020-03-15",10
"2020-03-14",4
"2020-03-13",7
"2020-03-12",24
"2020-03-11",20
"2020-03-10",11
"2020-03-09",7
"2020-03-08",2
"2020-03-07",3
"2020-03-06",5
"2020-03-05",6
"2020-03-04",4
"2020-03-03",5
"2020-03-02",5
"2020-03-01",4
"2020-02-29",1
"2020-02-28",0
"2020-02-27",5
"2020-02-26",2
"2020-02-25",1
"2020-02-24",3
"2020-02-23",2
"2020-02-22",-2
"2020-02-21",0
"2020-02-20",-3
"2020-02-19",-1
"2020-02-18",-3
"2020-02-17",-1
"2020-02-16",0
