date,value
"2020-04-05",20
"2020-04-04",22
"2020-04-03",33
"2020-04-02",33
"2020-04-01",31
"2020-03-31",30
"2020-03-30",30
"2020-03-29",19
"2020-03-28",21
"2020-03-27",26
"2020-03-26",25
"2020-03-25",24
"2020-03-24",22
"2020-03-23",22
"2020-03-22",14
"2020-03-21",16
"2020-03-20",22
"2020-03-19",22
"2020-03-18",21
"2020-03-17",26
"2020-03-16",21
"2020-03-15",11
"2020-03-14",9
"2020-03-13",11
"2020-03-12",6
"2020-03-11",3
"2020-03-10",1
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",1
"2020-02-28",2
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",1
"2020-02-20",3
"2020-02-19",2
"2020-02-18",2
"2020-02-17",1
"2020-02-16",2
