date,value
"2020-04-05",30
"2020-04-04",16
"2020-04-03",19
"2020-04-02",31
"2020-04-01",31
"2020-03-31",31
"2020-03-30",31
"2020-03-29",30
"2020-03-28",17
"2020-03-27",20
"2020-03-26",33
"2020-03-25",29
"2020-03-24",28
"2020-03-23",28
"2020-03-22",27
"2020-03-21",18
"2020-03-20",18
"2020-03-19",27
"2020-03-18",27
"2020-03-17",23
"2020-03-16",19
"2020-03-15",16
"2020-03-14",9
"2020-03-13",7
"2020-03-12",7
"2020-03-11",5
"2020-03-10",7
"2020-03-09",6
"2020-03-08",3
"2020-03-07",1
"2020-03-06",1
"2020-03-05",1
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",5
"2020-03-01",8
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",1
"2020-02-22",0
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",1
"2020-02-17",0
"2020-02-16",0
