date,value
"2020-04-11",-45
"2020-04-10",-63
"2020-04-09",-90
"2020-04-08",-85
"2020-04-07",-64
"2020-04-06",-60
"2020-04-05",-60
"2020-04-04",-42
"2020-04-03",-56
"2020-04-02",-59
"2020-04-01",-60
"2020-03-31",-60
"2020-03-30",-60
"2020-03-29",-59
"2020-03-28",-46
"2020-03-27",-58
"2020-03-26",-59
"2020-03-25",-57
"2020-03-24",-56
"2020-03-23",-55
"2020-03-22",-55
"2020-03-21",-43
"2020-03-20",-52
"2020-03-19",-52
"2020-03-18",-50
"2020-03-17",-44
"2020-03-16",-38
"2020-03-15",-35
"2020-03-14",-16
"2020-03-13",-19
"2020-03-12",-12
"2020-03-11",-13
"2020-03-10",-29
"2020-03-09",-25
"2020-03-08",-7
"2020-03-07",3
"2020-03-06",5
"2020-03-05",2
"2020-03-04",2
"2020-03-03",3
"2020-03-02",-24
"2020-03-01",-44
"2020-02-29",1
"2020-02-28",2
"2020-02-27",3
"2020-02-26",1
"2020-02-25",0
"2020-02-24",-1
"2020-02-23",0
"2020-02-22",1
"2020-02-21",1
"2020-02-20",3
"2020-02-19",1
"2020-02-18",0
"2020-02-17",1
"2020-02-16",1
