date,value
"2020-04-05",-56
"2020-04-04",-53
"2020-04-03",-51
"2020-04-02",-51
"2020-04-01",-52
"2020-03-31",-50
"2020-03-30",-51
"2020-03-29",-57
"2020-03-28",-54
"2020-03-27",-52
"2020-03-26",-51
"2020-03-25",-53
"2020-03-24",-45
"2020-03-23",-36
"2020-03-22",-54
"2020-03-21",-29
"2020-03-20",-15
"2020-03-19",-8
"2020-03-18",-6
"2020-03-17",-3
"2020-03-16",-2
"2020-03-15",-5
"2020-03-14",-6
"2020-03-13",-2
"2020-03-12",1
"2020-03-11",0
"2020-03-10",-3
"2020-03-09",1
"2020-03-08",3
"2020-03-07",2
"2020-03-06",1
"2020-03-05",1
"2020-03-04",2
"2020-03-03",2
"2020-03-02",3
"2020-03-01",2
"2020-02-29",0
"2020-02-28",0
"2020-02-27",3
"2020-02-26",3
"2020-02-25",2
"2020-02-24",3
"2020-02-23",2
"2020-02-22",1
"2020-02-21",4
"2020-02-20",6
"2020-02-19",4
"2020-02-18",1
"2020-02-17",3
"2020-02-16",3
