date,value
"2020-04-11",30
"2020-04-10",32
"2020-04-09",30
"2020-04-08",29
"2020-04-07",29
"2020-04-06",30
"2020-04-05",21
"2020-04-04",28
"2020-04-03",30
"2020-04-02",30
"2020-04-01",29
"2020-03-31",29
"2020-03-30",30
"2020-03-29",22
"2020-03-28",29
"2020-03-27",31
"2020-03-26",30
"2020-03-25",30
"2020-03-24",26
"2020-03-23",21
"2020-03-22",21
"2020-03-21",11
"2020-03-20",7
"2020-03-19",5
"2020-03-18",4
"2020-03-17",3
"2020-03-16",3
"2020-03-15",3
"2020-03-14",3
"2020-03-13",2
"2020-03-12",0
"2020-03-11",0
"2020-03-10",7
"2020-03-09",7
"2020-03-08",2
"2020-03-07",0
"2020-03-06",1
"2020-03-05",1
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",1
"2020-02-21",2
"2020-02-20",4
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
