date,value
"2020-04-11",-80
"2020-04-10",-79
"2020-04-09",-78
"2020-04-08",-78
"2020-04-07",-78
"2020-04-06",-76
"2020-04-05",-77
"2020-04-04",-77
"2020-04-03",-76
"2020-04-02",-76
"2020-04-01",-76
"2020-03-31",-76
"2020-03-30",-76
"2020-03-29",-77
"2020-03-28",-78
"2020-03-27",-77
"2020-03-26",-76
"2020-03-25",-77
"2020-03-24",-69
"2020-03-23",-56
"2020-03-22",-74
"2020-03-21",-42
"2020-03-20",-25
"2020-03-19",-17
"2020-03-18",-13
"2020-03-17",-11
"2020-03-16",-8
"2020-03-15",-10
"2020-03-14",-11
"2020-03-13",-7
"2020-03-12",-4
"2020-03-11",-4
"2020-03-10",-13
"2020-03-09",-10
"2020-03-08",0
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",0
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",-2
"2020-02-21",-2
"2020-02-20",-3
"2020-02-19",1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
