date,value
"2020-03-29",21
"2020-03-28",19
"2020-03-27",17
"2020-03-26",23
"2020-03-25",21
"2020-03-24",20
"2020-03-23",19
"2020-03-22",20
"2020-03-21",17
"2020-03-20",14
"2020-03-19",18
"2020-03-18",17
"2020-03-17",11
"2020-03-16",9
"2020-03-15",9
"2020-03-14",8
"2020-03-13",5
"2020-03-12",5
"2020-03-11",5
"2020-03-10",4
"2020-03-09",4
"2020-03-08",4
"2020-03-07",3
"2020-03-06",2
"2020-03-05",3
"2020-03-04",3
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",2
"2020-02-28",1
"2020-02-27",2
"2020-02-26",2
"2020-02-25",1
"2020-02-24",1
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",0
"2020-02-20",0
"2020-02-19",1
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",-1
