date,value
"2020-04-11",-83
"2020-04-10",-77
"2020-04-09",-76
"2020-04-08",-76
"2020-04-07",-75
"2020-04-06",-76
"2020-04-05",-90
"2020-04-04",-85
"2020-04-03",-79
"2020-04-02",-77
"2020-04-01",-77
"2020-03-31",-78
"2020-03-30",-79
"2020-03-29",-90
"2020-03-28",-86
"2020-03-27",-82
"2020-03-26",-84
"2020-03-25",-82
"2020-03-24",-80
"2020-03-23",-81
"2020-03-22",-90
"2020-03-21",-86
"2020-03-20",-79
"2020-03-19",-75
"2020-03-18",-71
"2020-03-17",-69
"2020-03-16",-68
"2020-03-15",-77
"2020-03-14",-79
"2020-03-13",-69
"2020-03-12",-62
"2020-03-11",-44
"2020-03-10",-32
"2020-03-09",-28
"2020-03-08",-11
"2020-03-07",2
"2020-03-06",-3
"2020-03-05",-10
"2020-03-04",-3
"2020-03-03",1
"2020-03-02",-15
"2020-03-01",-27
"2020-02-29",-19
"2020-02-28",5
"2020-02-27",7
"2020-02-26",-2
"2020-02-25",0
"2020-02-24",20
"2020-02-23",22
"2020-02-22",24
"2020-02-21",29
"2020-02-20",19
"2020-02-19",17
"2020-02-18",11
"2020-02-17",16
"2020-02-16",7
