date,value
"2020-03-29",-87
"2020-03-28",-82
"2020-03-27",-82
"2020-03-26",-83
"2020-03-25",-82
"2020-03-24",-81
"2020-03-23",-81
"2020-03-22",-86
"2020-03-21",-82
"2020-03-20",-79
"2020-03-19",-78
"2020-03-18",-77
"2020-03-17",-76
"2020-03-16",-75
"2020-03-15",-78
"2020-03-14",-77
"2020-03-13",-73
"2020-03-12",-69
"2020-03-11",-61
"2020-03-10",-53
"2020-03-09",-46
"2020-03-08",-34
"2020-03-07",-25
"2020-03-06",-26
"2020-03-05",-28
"2020-03-04",-24
"2020-03-03",-20
"2020-03-02",-22
"2020-03-01",-25
"2020-02-29",-23
"2020-02-28",-17
"2020-02-27",-20
"2020-02-26",-22
"2020-02-25",-22
"2020-02-24",-18
"2020-02-23",-11
"2020-02-22",6
"2020-02-21",8
"2020-02-20",5
"2020-02-19",4
"2020-02-18",3
"2020-02-17",4
"2020-02-16",3
