date,value
"2020-04-11",-39
"2020-04-10",-82
"2020-04-09",-1
"2020-04-08",-23
"2020-04-07",-29
"2020-04-06",-31
"2020-04-05",-39
"2020-04-04",-31
"2020-04-03",-31
"2020-04-02",-32
"2020-04-01",-31
"2020-03-31",-21
"2020-03-30",-25
"2020-03-29",-36
"2020-03-28",-23
"2020-03-27",-20
"2020-03-26",-20
"2020-03-25",-21
"2020-03-24",-22
"2020-03-23",-23
"2020-03-22",-29
"2020-03-21",-19
"2020-03-20",-19
"2020-03-19",-19
"2020-03-18",-18
"2020-03-17",-10
"2020-03-16",-8
"2020-03-15",-14
"2020-03-14",-5
"2020-03-13",9
"2020-03-12",16
"2020-03-11",19
"2020-03-10",19
"2020-03-09",9
"2020-03-08",1
"2020-03-07",3
"2020-03-06",3
"2020-03-05",5
"2020-03-04",6
"2020-03-03",6
"2020-03-02",7
"2020-03-01",6
"2020-02-29",3
"2020-02-28",3
"2020-02-27",7
"2020-02-26",-4
"2020-02-25",-32
"2020-02-24",12
"2020-02-23",-1
"2020-02-22",-4
"2020-02-21",-4
"2020-02-20",-4
"2020-02-19",0
"2020-02-18",-1
"2020-02-17",0
"2020-02-16",-1
