date,value
"2020-04-11",-93
"2020-04-10",-92
"2020-04-09",-66
"2020-04-08",-70
"2020-04-07",-70
"2020-04-06",-71
"2020-04-05",-69
"2020-04-04",-71
"2020-04-03",-90
"2020-04-02",-71
"2020-04-01",-70
"2020-03-31",-72
"2020-03-30",-73
"2020-03-29",-74
"2020-03-28",-76
"2020-03-27",-70
"2020-03-26",-66
"2020-03-25",-64
"2020-03-24",-80
"2020-03-23",-90
"2020-03-22",-91
"2020-03-21",-88
"2020-03-20",-41
"2020-03-19",-53
"2020-03-18",-53
"2020-03-17",-20
"2020-03-16",-13
"2020-03-15",-11
"2020-03-14",-9
"2020-03-13",-12
"2020-03-12",-13
"2020-03-11",-3
"2020-03-10",1
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",0
"2020-03-04",4
"2020-03-03",2
"2020-03-02",-1
"2020-03-01",-2
"2020-02-29",0
"2020-02-28",6
"2020-02-27",12
"2020-02-26",5
"2020-02-25",0
"2020-02-24",-5
"2020-02-23",-1
"2020-02-22",-3
"2020-02-21",-6
"2020-02-20",2
"2020-02-19",-4
"2020-02-18",-5
"2020-02-17",-4
"2020-02-16",-3
