date,value
"2020-04-11",-81
"2020-04-10",-66
"2020-04-09",-69
"2020-04-08",-70
"2020-04-07",-70
"2020-04-06",-70
"2020-04-05",-70
"2020-04-04",-63
"2020-04-03",-62
"2020-04-02",-69
"2020-04-01",-71
"2020-03-31",-71
"2020-03-30",-71
"2020-03-29",-73
"2020-03-28",-67
"2020-03-27",-45
"2020-03-26",-71
"2020-03-25",-73
"2020-03-24",-78
"2020-03-23",-82
"2020-03-22",-82
"2020-03-21",-79
"2020-03-20",-42
"2020-03-19",-56
"2020-03-18",-61
"2020-03-17",-34
"2020-03-16",-18
"2020-03-15",-10
"2020-03-14",-6
"2020-03-13",-5
"2020-03-12",1
"2020-03-11",5
"2020-03-10",5
"2020-03-09",5
"2020-03-08",5
"2020-03-07",2
"2020-03-06",-1
"2020-03-05",3
"2020-03-04",8
"2020-03-03",6
"2020-03-02",6
"2020-03-01",5
"2020-02-29",2
"2020-02-28",0
"2020-02-27",3
"2020-02-26",7
"2020-02-25",4
"2020-02-24",3
"2020-02-23",4
"2020-02-22",3
"2020-02-21",-2
"2020-02-20",2
"2020-02-19",7
"2020-02-18",4
"2020-02-17",4
"2020-02-16",4
