date,value
"2020-03-29",-41
"2020-03-28",-33
"2020-03-27",-20
"2020-03-26",-13
"2020-03-25",-11
"2020-03-24",-13
"2020-03-23",-13
"2020-03-22",-17
"2020-03-21",-15
"2020-03-20",-30
"2020-03-19",-16
"2020-03-18",-13
"2020-03-17",-14
"2020-03-16",-15
"2020-03-15",-19
"2020-03-14",-25
"2020-03-13",-21
"2020-03-12",-16
"2020-03-11",-16
"2020-03-10",-17
"2020-03-09",-17
"2020-03-08",-24
"2020-03-07",-28
"2020-03-06",-21
"2020-03-05",-18
"2020-03-04",-18
"2020-03-03",-18
"2020-03-02",-15
"2020-03-01",-18
"2020-02-29",-22
"2020-02-28",-17
"2020-02-27",-9
"2020-02-26",-6
"2020-02-25",-4
"2020-02-24",-7
"2020-02-23",-21
"2020-02-22",1
"2020-02-21",-3
"2020-02-20",-2
"2020-02-19",-3
"2020-02-18",-3
"2020-02-17",-2
"2020-02-16",-1
