date,value
"2020-04-11",-33
"2020-04-10",-36
"2020-04-09",-29
"2020-04-08",-30
"2020-04-07",-28
"2020-04-06",-25
"2020-04-05",-29
"2020-04-04",-23
"2020-04-03",-24
"2020-04-02",-26
"2020-04-01",-27
"2020-03-31",-27
"2020-03-30",-29
"2020-03-29",-33
"2020-03-28",-30
"2020-03-27",-29
"2020-03-26",-22
"2020-03-25",-14
"2020-03-24",-15
"2020-03-23",-12
"2020-03-22",-15
"2020-03-21",-11
"2020-03-20",-5
"2020-03-19",-3
"2020-03-18",-1
"2020-03-17",1
"2020-03-16",5
"2020-03-15",4
"2020-03-14",3
"2020-03-13",5
"2020-03-12",4
"2020-03-11",2
"2020-03-10",2
"2020-03-09",2
"2020-03-08",4
"2020-03-07",6
"2020-03-06",7
"2020-03-05",7
"2020-03-04",4
"2020-03-03",2
"2020-03-02",1
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",2
"2020-02-27",1
"2020-02-26",-3
"2020-02-25",-5
"2020-02-24",-3
"2020-02-23",0
"2020-02-22",3
"2020-02-21",0
"2020-02-20",1
"2020-02-19",-1
"2020-02-18",-3
"2020-02-17",0
"2020-02-16",1
