date,value
"2020-03-29",-22
"2020-03-28",-25
"2020-03-27",-36
"2020-03-26",-36
"2020-03-25",-34
"2020-03-24",-30
"2020-03-23",-25
"2020-03-22",-11
"2020-03-21",-8
"2020-03-20",-13
"2020-03-19",-15
"2020-03-18",-13
"2020-03-17",-10
"2020-03-16",-3
"2020-03-15",4
"2020-03-14",5
"2020-03-13",8
"2020-03-12",8
"2020-03-11",7
"2020-03-10",7
"2020-03-09",7
"2020-03-08",7
"2020-03-07",6
"2020-03-06",7
"2020-03-05",8
"2020-03-04",7
"2020-03-03",6
"2020-03-02",6
"2020-03-01",6
"2020-02-29",6
"2020-02-28",6
"2020-02-27",7
"2020-02-26",5
"2020-02-25",5
"2020-02-24",6
"2020-02-23",5
"2020-02-22",5
"2020-02-21",3
"2020-02-20",3
"2020-02-19",1
"2020-02-18",1
"2020-02-17",2
"2020-02-16",3
