date,value
"2020-04-05",-67
"2020-04-04",-66
"2020-04-03",-63
"2020-04-02",-65
"2020-04-01",-64
"2020-03-31",-59
"2020-03-30",-60
"2020-03-29",-64
"2020-03-28",-63
"2020-03-27",-59
"2020-03-26",-57
"2020-03-25",-53
"2020-03-24",-35
"2020-03-23",-36
"2020-03-22",-30
"2020-03-21",-22
"2020-03-20",-10
"2020-03-19",-1
"2020-03-18",9
"2020-03-17",8
"2020-03-16",7
"2020-03-15",13
"2020-03-14",17
"2020-03-13",15
"2020-03-12",14
"2020-03-11",13
"2020-03-10",12
"2020-03-09",6
"2020-03-08",12
"2020-03-07",17
"2020-03-06",11
"2020-03-05",13
"2020-03-04",16
"2020-03-03",14
"2020-03-02",11
"2020-03-01",11
"2020-02-29",12
"2020-02-28",8
"2020-02-27",5
"2020-02-26",4
"2020-02-25",9
"2020-02-24",7
"2020-02-23",1
"2020-02-22",10
"2020-02-21",9
"2020-02-20",9
"2020-02-19",10
"2020-02-18",3
"2020-02-17",2
"2020-02-16",2
