date,value
"2020-04-11",-44
"2020-04-10",-41
"2020-04-09",-38
"2020-04-08",-36
"2020-04-07",-38
"2020-04-06",-37
"2020-04-05",-41
"2020-04-04",-41
"2020-04-03",-37
"2020-04-02",-37
"2020-04-01",-37
"2020-03-31",-38
"2020-03-30",-38
"2020-03-29",-43
"2020-03-28",-41
"2020-03-27",-38
"2020-03-26",-37
"2020-03-25",-36
"2020-03-24",-36
"2020-03-23",-35
"2020-03-22",-36
"2020-03-21",-33
"2020-03-20",-29
"2020-03-19",-27
"2020-03-18",-24
"2020-03-17",-20
"2020-03-16",-15
"2020-03-15",-13
"2020-03-14",-12
"2020-03-13",-8
"2020-03-12",-5
"2020-03-11",-5
"2020-03-10",-6
"2020-03-09",-6
"2020-03-08",-5
"2020-03-07",-3
"2020-03-06",-1
"2020-03-05",0
"2020-03-04",1
"2020-03-03",1
"2020-03-02",0
"2020-03-01",0
"2020-02-29",1
"2020-02-28",1
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",-2
"2020-02-22",0
"2020-02-21",0
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-2
