date,value
"2020-03-29",-15
"2020-03-28",-20
"2020-03-27",-22
"2020-03-26",-21
"2020-03-25",-21
"2020-03-24",-20
"2020-03-23",-18
"2020-03-22",-11
"2020-03-21",-14
"2020-03-20",-15
"2020-03-19",-14
"2020-03-18",-13
"2020-03-17",-11
"2020-03-16",-5
"2020-03-15",1
"2020-03-14",3
"2020-03-13",4
"2020-03-12",4
"2020-03-11",4
"2020-03-10",4
"2020-03-09",-9
"2020-03-08",-10
"2020-03-07",1
"2020-03-06",3
"2020-03-05",4
"2020-03-04",6
"2020-03-03",5
"2020-03-02",5
"2020-03-01",5
"2020-02-29",5
"2020-02-28",5
"2020-02-27",5
"2020-02-26",5
"2020-02-25",5
"2020-02-24",5
"2020-02-23",6
"2020-02-22",4
"2020-02-21",6
"2020-02-20",5
"2020-02-19",6
"2020-02-18",5
"2020-02-17",5
"2020-02-16",5
