date,value
"2020-03-29",6
"2020-03-28",8
"2020-03-27",10
"2020-03-26",8
"2020-03-25",7
"2020-03-24",6
"2020-03-23",7
"2020-03-22",7
"2020-03-21",7
"2020-03-20",8
"2020-03-19",9
"2020-03-18",8
"2020-03-17",7
"2020-03-16",7
"2020-03-15",8
"2020-03-14",9
"2020-03-13",9
"2020-03-12",8
"2020-03-11",8
"2020-03-10",9
"2020-03-09",9
"2020-03-08",8
"2020-03-07",10
"2020-03-06",11
"2020-03-05",10
"2020-03-04",10
"2020-03-03",9
"2020-03-02",8
"2020-03-01",10
"2020-02-29",12
"2020-02-28",13
"2020-02-27",12
"2020-02-26",9
"2020-02-25",9
"2020-02-24",9
"2020-02-23",8
"2020-02-22",8
"2020-02-21",8
"2020-02-20",5
"2020-02-19",2
"2020-02-18",2
"2020-02-17",2
"2020-02-16",5
