date,value
"2020-04-11",-13
"2020-04-10",-12
"2020-04-09",-14
"2020-04-08",-13
"2020-04-07",-10
"2020-04-06",-9
"2020-04-05",-14
"2020-04-04",-16
"2020-04-03",-13
"2020-04-02",-15
"2020-04-01",-15
"2020-03-31",-10
"2020-03-30",-12
"2020-03-29",-17
"2020-03-28",-20
"2020-03-27",-20
"2020-03-26",-21
"2020-03-25",-14
"2020-03-24",-13
"2020-03-23",-13
"2020-03-22",-17
"2020-03-21",-18
"2020-03-20",-17
"2020-03-19",-23
"2020-03-18",-18
"2020-03-17",-17
"2020-03-16",-16
"2020-03-15",-25
"2020-03-14",-24
"2020-03-13",-21
"2020-03-12",-20
"2020-03-11",-19
"2020-03-10",-22
"2020-03-09",-20
"2020-03-08",-20
"2020-03-07",-27
"2020-03-06",-26
"2020-03-05",-23
"2020-03-04",-25
"2020-03-03",-24
"2020-03-02",-20
"2020-03-01",-25
"2020-02-29",-35
"2020-02-28",-31
"2020-02-27",-28
"2020-02-26",-24
"2020-02-25",-23
"2020-02-24",-24
"2020-02-23",-17
"2020-02-22",-25
"2020-02-21",-22
"2020-02-20",-9
"2020-02-19",-6
"2020-02-18",-4
"2020-02-17",-3
"2020-02-16",-7
