date,value
"2020-04-11",25
"2020-04-10",23
"2020-04-09",32
"2020-04-08",30
"2020-04-07",30
"2020-04-06",25
"2020-04-05",25
"2020-04-04",22
"2020-04-03",22
"2020-04-02",27
"2020-04-01",25
"2020-03-31",24
"2020-03-30",24
"2020-03-29",23
"2020-03-28",19
"2020-03-27",20
"2020-03-26",24
"2020-03-25",23
"2020-03-24",23
"2020-03-23",23
"2020-03-22",27
"2020-03-21",16
"2020-03-20",15
"2020-03-19",19
"2020-03-18",19
"2020-03-17",18
"2020-03-16",16
"2020-03-15",15
"2020-03-14",12
"2020-03-13",11
"2020-03-12",12
"2020-03-11",7
"2020-03-10",4
"2020-03-09",5
"2020-03-08",4
"2020-03-07",4
"2020-03-06",4
"2020-03-05",5
"2020-03-04",4
"2020-03-03",4
"2020-03-02",4
"2020-03-01",4
"2020-02-29",3
"2020-02-28",4
"2020-02-27",7
"2020-02-26",11
"2020-02-25",14
"2020-02-24",10
"2020-02-23",-2
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
