date,value
"2020-04-05",-59
"2020-04-04",-61
"2020-04-03",-67
"2020-04-02",-63
"2020-04-01",-60
"2020-03-31",-59
"2020-03-30",-59
"2020-03-29",-56
"2020-03-28",-58
"2020-03-27",-62
"2020-03-26",-56
"2020-03-25",-54
"2020-03-24",-54
"2020-03-23",-55
"2020-03-22",-61
"2020-03-21",-47
"2020-03-20",-51
"2020-03-19",-47
"2020-03-18",-45
"2020-03-17",-44
"2020-03-16",-43
"2020-03-15",-40
"2020-03-14",-37
"2020-03-13",-39
"2020-03-12",-31
"2020-03-11",-15
"2020-03-10",-8
"2020-03-09",-8
"2020-03-08",-8
"2020-03-07",-9
"2020-03-06",-10
"2020-03-05",-10
"2020-03-04",-8
"2020-03-03",-6
"2020-03-02",-7
"2020-03-01",-8
"2020-02-29",-10
"2020-02-28",-15
"2020-02-27",-20
"2020-02-26",-17
"2020-02-25",-11
"2020-02-24",-4
"2020-02-23",5
"2020-02-22",5
"2020-02-21",5
"2020-02-20",4
"2020-02-19",2
"2020-02-18",1
"2020-02-17",1
"2020-02-16",0
