date,value
"2020-04-11",-48
"2020-04-10",-44
"2020-04-09",-55
"2020-04-08",-56
"2020-04-07",-56
"2020-04-06",-50
"2020-04-05",-48
"2020-04-04",-40
"2020-04-03",-38
"2020-04-02",-46
"2020-04-01",-46
"2020-03-31",-45
"2020-03-30",-44
"2020-03-29",-42
"2020-03-28",-35
"2020-03-27",-36
"2020-03-26",-41
"2020-03-25",-42
"2020-03-24",-41
"2020-03-23",-41
"2020-03-22",-56
"2020-03-21",-31
"2020-03-20",-25
"2020-03-19",-31
"2020-03-18",-35
"2020-03-17",-33
"2020-03-16",-32
"2020-03-15",-29
"2020-03-14",-18
"2020-03-13",-11
"2020-03-12",-15
"2020-03-11",-9
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",-1
"2020-03-07",1
"2020-03-06",1
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",0
"2020-02-28",1
"2020-02-27",-6
"2020-02-26",-29
"2020-02-25",-46
"2020-02-24",-38
"2020-02-23",2
"2020-02-22",4
"2020-02-21",4
"2020-02-20",4
"2020-02-19",7
"2020-02-18",7
"2020-02-17",7
"2020-02-16",7
