date,value
"2020-04-05",-59
"2020-04-04",-59
"2020-04-03",-57
"2020-04-02",-55
"2020-04-01",-53
"2020-03-31",-42
"2020-03-30",-42
"2020-03-29",-45
"2020-03-28",-43
"2020-03-27",-39
"2020-03-26",-34
"2020-03-25",-30
"2020-03-24",-25
"2020-03-23",-20
"2020-03-22",-23
"2020-03-21",-20
"2020-03-20",-15
"2020-03-19",-12
"2020-03-18",-11
"2020-03-17",-8
"2020-03-16",-4
"2020-03-15",-5
"2020-03-14",-5
"2020-03-13",-3
"2020-03-12",-2
"2020-03-11",-2
"2020-03-10",0
"2020-03-09",0
"2020-03-08",3
"2020-03-07",3
"2020-03-06",0
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",2
"2020-03-01",1
"2020-02-29",1
"2020-02-28",2
"2020-02-27",3
"2020-02-26",1
"2020-02-25",1
"2020-02-24",2
"2020-02-23",1
"2020-02-22",1
"2020-02-21",0
"2020-02-20",0
"2020-02-19",-2
"2020-02-18",-1
"2020-02-17",-1
"2020-02-16",-2
