date,value
"2020-04-11",-31
"2020-04-10",-39
"2020-04-09",-29
"2020-04-08",-29
"2020-04-07",-30
"2020-04-06",-38
"2020-04-05",-39
"2020-04-04",-34
"2020-04-03",-30
"2020-04-02",-31
"2020-04-01",-34
"2020-03-31",-33
"2020-03-30",-38
"2020-03-29",-48
"2020-03-28",-47
"2020-03-27",-42
"2020-03-26",-38
"2020-03-25",-39
"2020-03-24",-40
"2020-03-23",-42
"2020-03-22",-46
"2020-03-21",-34
"2020-03-20",-33
"2020-03-19",-36
"2020-03-18",-34
"2020-03-17",-35
"2020-03-16",-29
"2020-03-15",-19
"2020-03-14",-15
"2020-03-13",-15
"2020-03-12",-7
"2020-03-11",12
"2020-03-10",11
"2020-03-09",2
"2020-03-08",2
"2020-03-07",4
"2020-03-06",1
"2020-03-05",2
"2020-03-04",9
"2020-03-03",8
"2020-03-02",5
"2020-03-01",5
"2020-02-29",5
"2020-02-28",3
"2020-02-27",5
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",-3
"2020-02-22",3
"2020-02-21",-2
"2020-02-20",1
"2020-02-19",4
"2020-02-18",1
"2020-02-17",0
"2020-02-16",-2
