date,value
"2020-04-11",-65
"2020-04-10",-68
"2020-04-09",-59
"2020-04-08",-59
"2020-04-07",-60
"2020-04-06",-63
"2020-04-05",-68
"2020-04-04",-65
"2020-04-03",-62
"2020-04-02",-60
"2020-04-01",-63
"2020-03-31",-60
"2020-03-30",-65
"2020-03-29",-73
"2020-03-28",-73
"2020-03-27",-69
"2020-03-26",-66
"2020-03-25",-67
"2020-03-24",-68
"2020-03-23",-69
"2020-03-22",-74
"2020-03-21",-66
"2020-03-20",-65
"2020-03-19",-64
"2020-03-18",-62
"2020-03-17",-62
"2020-03-16",-58
"2020-03-15",-55
"2020-03-14",-52
"2020-03-13",-48
"2020-03-12",-38
"2020-03-11",-20
"2020-03-10",-10
"2020-03-09",-8
"2020-03-08",-7
"2020-03-07",-8
"2020-03-06",-11
"2020-03-05",-3
"2020-03-04",9
"2020-03-03",8
"2020-03-02",4
"2020-03-01",-2
"2020-02-29",-4
"2020-02-28",-3
"2020-02-27",6
"2020-02-26",3
"2020-02-25",0
"2020-02-24",-2
"2020-02-23",-6
"2020-02-22",-2
"2020-02-21",-5
"2020-02-20",2
"2020-02-19",5
"2020-02-18",3
"2020-02-17",4
"2020-02-16",-1
