date,value
"2020-04-11",-53
"2020-04-10",-48
"2020-04-09",-36
"2020-04-08",-45
"2020-04-07",-47
"2020-04-06",-37
"2020-04-05",-55
"2020-04-04",-55
"2020-04-03",-51
"2020-04-02",-48
"2020-04-01",-42
"2020-03-31",-46
"2020-03-30",-40
"2020-03-29",-57
"2020-03-28",-56
"2020-03-27",-47
"2020-03-26",-38
"2020-03-25",-48
"2020-03-24",-37
"2020-03-23",-40
"2020-03-22",-56
"2020-03-21",-57
"2020-03-20",-34
"2020-03-19",-25
"2020-03-18",-20
"2020-03-17",-17
"2020-03-16",-15
"2020-03-15",-13
"2020-03-14",-8
"2020-03-13",-3
"2020-03-12",1
"2020-03-11",5
"2020-03-10",4
"2020-03-09",18
"2020-03-08",28
"2020-03-07",19
"2020-03-06",10
"2020-03-05",6
"2020-03-04",4
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",3
"2020-02-28",5
"2020-02-27",4
"2020-02-26",4
"2020-02-25",5
"2020-02-24",4
"2020-02-23",4
"2020-02-22",6
"2020-02-21",13
"2020-02-20",17
"2020-02-19",9
"2020-02-18",6
"2020-02-17",4
"2020-02-16",4
