date,value
"2020-04-11",-84
"2020-04-10",-83
"2020-04-09",-70
"2020-04-08",-82
"2020-04-07",-85
"2020-04-06",-73
"2020-04-05",-84
"2020-04-04",-86
"2020-04-03",-84
"2020-04-02",-84
"2020-04-01",-78
"2020-03-31",-84
"2020-03-30",-77
"2020-03-29",-86
"2020-03-28",-88
"2020-03-27",-83
"2020-03-26",-74
"2020-03-25",-85
"2020-03-24",-67
"2020-03-23",-77
"2020-03-22",-87
"2020-03-21",-89
"2020-03-20",-60
"2020-03-19",-47
"2020-03-18",-42
"2020-03-17",-35
"2020-03-16",-36
"2020-03-15",-25
"2020-03-14",-13
"2020-03-13",-6
"2020-03-12",1
"2020-03-11",3
"2020-03-10",3
"2020-03-09",-7
"2020-03-08",-2
"2020-03-07",7
"2020-03-06",6
"2020-03-05",5
"2020-03-04",3
"2020-03-03",1
"2020-03-02",0
"2020-03-01",2
"2020-02-29",5
"2020-02-28",5
"2020-02-27",5
"2020-02-26",3
"2020-02-25",2
"2020-02-24",2
"2020-02-23",-1
"2020-02-22",1
"2020-02-21",0
"2020-02-20",3
"2020-02-19",3
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",-2
