date,value
"2020-04-05",63
"2020-04-04",5
"2020-04-03",-10
"2020-04-02",-20
"2020-04-01",-19
"2020-03-31",4
"2020-03-30",3
"2020-03-29",-28
"2020-03-28",60
"2020-03-27",43
"2020-03-26",36
"2020-03-25",37
"2020-03-24",29
"2020-03-23",25
"2020-03-22",10
"2020-03-21",1
"2020-03-20",20
"2020-03-19",29
"2020-03-18",38
"2020-03-17",46
"2020-03-16",18
"2020-03-15",36
"2020-03-14",8
"2020-03-13",0
"2020-03-12",-3
"2020-03-11",22
"2020-03-10",42
"2020-03-09",35
"2020-03-08",44
"2020-03-07",39
"2020-03-06",33
"2020-03-05",34
"2020-03-04",15
"2020-03-03",11
"2020-03-02",18
"2020-03-01",26
"2020-02-29",25
"2020-02-28",11
"2020-02-27",-2
"2020-02-26",-4
"2020-02-25",11
"2020-02-24",0
"2020-02-23",16
"2020-02-22",4
"2020-02-21",-9
"2020-02-20",8
"2020-02-19",17
"2020-02-18",18
"2020-02-17",12
"2020-02-16",15
