date,value
"2020-03-29",-33
"2020-03-28",-34
"2020-03-27",-51
"2020-03-26",-53
"2020-03-25",-53
"2020-03-24",-53
"2020-03-23",-51
"2020-03-22",-34
"2020-03-21",-34
"2020-03-20",-46
"2020-03-19",-49
"2020-03-18",-48
"2020-03-17",-46
"2020-03-16",-39
"2020-03-15",-13
"2020-03-14",-6
"2020-03-13",-14
"2020-03-12",-7
"2020-03-11",-43
"2020-03-10",-32
"2020-03-09",1
"2020-03-08",4
"2020-03-07",4
"2020-03-06",3
"2020-03-05",3
"2020-03-04",2
"2020-03-03",2
"2020-03-02",3
"2020-03-01",2
"2020-02-29",2
"2020-02-28",2
"2020-02-27",2
"2020-02-26",1
"2020-02-25",3
"2020-02-24",3
"2020-02-23",2
"2020-02-22",1
"2020-02-21",-3
"2020-02-20",-15
"2020-02-19",-15
"2020-02-18",-14
"2020-02-17",-13
"2020-02-16",-14
