date,value
"2020-03-29",7
"2020-03-28",4
"2020-03-27",14
"2020-03-26",15
"2020-03-25",14
"2020-03-24",15
"2020-03-23",15
"2020-03-22",6
"2020-03-21",7
"2020-03-20",14
"2020-03-19",14
"2020-03-18",14
"2020-03-17",12
"2020-03-16",12
"2020-03-15",5
"2020-03-14",5
"2020-03-13",7
"2020-03-12",3
"2020-03-11",1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-2
"2020-03-07",-2
"2020-03-06",-1
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",1
"2020-02-20",0
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",1
